step 100  mean_loss_last_100: 0.16908  trial_acc (50 trials): 0.6200
step 200  mean_loss_last_100: 0.05637  trial_acc (50 trials): 0.5200
step 300  mean_loss_last_100: 0.04313  trial_acc (50 trials): 0.4800
step 400  mean_loss_last_100: 0.03983  trial_acc (50 trials): 0.5400
step 500  mean_loss_last_100: 0.03862  trial_acc (50 trials): 0.4200
step 600  mean_loss_last_100: 0.03804  trial_acc (50 trials): 0.5000
step 700  mean_loss_last_100: 0.03759  trial_acc (50 trials): 0.4400
step 800  mean_loss_last_100: 0.03709  trial_acc (50 trials): 0.3600
step 900  mean_loss_last_100: 0.03709  trial_acc (50 trials): 0.5000
step 1000  mean_loss_last_100: 0.03690  trial_acc (50 trials): 0.5400
step 1100  mean_loss_last_100: 0.03655  trial_acc (50 trials): 0.5200
step 1200  mean_loss_last_100: 0.03663  trial_acc (50 trials): 0.5000
step 1300  mean_loss_last_100: 0.03645  trial_acc (50 trials): 0.4400
step 1400  mean_loss_last_100: 0.03636  trial_acc (50 trials): 0.4600
step 1500  mean_loss_last_100: 0.03630  trial_acc (50 trials): 0.5200
step 1600  mean_loss_last_100: 0.03647  trial_acc (50 trials): 0.4800
step 1700  mean_loss_last_100: 0.03627  trial_acc (50 trials): 0.5400
step 1800  mean_loss_last_100: 0.03635  trial_acc (50 trials): 0.5200
step 1900  mean_loss_last_100: 0.03617  trial_acc (50 trials): 0.4800
step 2000  mean_loss_last_100: 0.03606  trial_acc (50 trials): 0.6400
Finished training.
